source_id,source_name,language,country_focus,title,url,published_at,summary,section,matched_keywords
lana,LANA,ar,Libya,وزارة الشباب: استكمال التحضيرات النهائية لانطلاق المرحلة الثانية من انتخابات المجالس المحلية للشباب,https://lana.gov.ly/post.php?lang=ar&id=360412,2026-06-28T08:36:42,نشر بتاريخ: 2026-06-28 08:36:42,,
lana_21,LANA,ar,Libya,وزير الإسكان والتعمير يلتقي أهالي منطقة الهضبة ويستمع إلى مطالبهم خلال جولة ميدانية.,https://lana.gov.ly/post.php?lang=ar&id=360411,2026-06-28T08:32:42,نشر بتاريخ: 2026-06-28 08:32:42,,
lana,LANA,ar,Libya,الزحاف يعتمد تشكيل فريق إعداد الاستراتيجية الوطنية للشباب 2026-2031 ويأذن ببدء أعماله,https://lana.gov.ly/post.php?lang=ar&id=360410,2026-06-28T08:19:56,نشر بتاريخ: 2026-06-28 08:19:56,,
lana_21,LANA,ar,Libya,الاعلى للدولة : استعراض نتائج التقييم التي شملت المصحات الإيوائية الخاصة في نطاق طرابلس الكبرى,https://lana.gov.ly/post.php?lang=ar&id=360409,2026-06-28T08:15:15,نشر بتاريخ: 2026-06-28 08:15:15,,طرابلس
lana,LANA,ar,Libya,مع انطلاق الامتحانات.. الدبيبة : ما بذله طلبة الشهادة الثانوية من جهد سيكون طريقهم إلى التفوق,https://lana.gov.ly/post.php?lang=ar&id=360408,2026-06-28T08:00:55,نشر بتاريخ: 2026-06-28 08:00:55,,
al_wasat,Al Wasat,ar,Libya,إعادة تشغيل 6 محطات كهرباء في بنغازي - بوابة الوسط,https://alwasat.ly/news/libya/522928,2026-06-28T06:50:26,إعادة تشغيل 6 محطات كهرباء في بنغازي بوابة الوسط,,بنغازي
al_shahed,Al Shahed,ar,Libya,جواز السفر الليبي يتقدم 7 مراكز في مؤشر هينلي للعام 2026,https://lywitness.com/111259/%d8%ac%d9%88%d8%a7%d8%b2-%d8%a7%d9%84%d8%b3%d9%81%d8%b1-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a-%d9%8a%d8%aa%d9%82%d8%af%d9%85-7-%d9%85%d8%b1%d8%a7%d9%83%d8%b2-%d9%81%d9%8a-%d9%85%d8%a4%d8%b4%d8%b1/?utm_source=rss&utm_medium=rss&utm_campaign=%25d8%25ac%25d9%2588%25d8%25a7%25d8%25b2-%25d8%25a7%25d9%2584%25d8%25b3%25d9%2581%25d8%25b1-%25d8%25a7%25d9%2584%25d9%2584%25d9%258a%25d8%25a8%25d9%258a-%25d9%258a%25d8%25aa%25d9%2582%25d8%25af%25d9%2585-7-%25d9%2585%25d8%25b1%25d8%25a7%25d9%2583%25d8%25b2-%25d9%2581%25d9%258a-%25d9%2585%25d8%25a4%25d8%25b4%25d8%25b1,2026-06-28T06:41:51,أظهر أحدث تصنيف لمؤشر هينلي لجوازات السفر العالمية لعام 2026 تقدم جواز السفر الليبي إلى المرتبة 93 عالمياً من أصل 199 جواز سفر شملها التقييم. وبحسب البيانات المنشورة، صعد الجواز الليبي 7 مراكز مقارنة بالعام الماضي 2025، عندما احتل المرتبة 100، في تحسن يعكس ارتفاع عدد الوجهات المتاحة أمام المواطنين الليبيين. وأوضح المؤشر أن الجواز […] The post جواز السفر الليبي يتقدم 7 مراكز في مؤشر هينلي للعام 2026 appeared first on صحيفة الشاهد الليبية .,ليبيا,الليبي
al_wasat,Al Wasat,ar,Libya,إنجاز عربي جديد في هوليوود.. 3 مبدعين ينضمون إلى عضوية أكاديمية «أوسكار» - بوابة الوسط,https://alwasat.ly/news/art-culture/522927,2026-06-28T06:35:54,إنجاز عربي جديد في هوليوود.. 3 مبدعين ينضمون إلى عضوية أكاديمية «أوسكار» بوابة الوسط,,
google_news_ar,Erem News,ar,Libya,"""لا تفكروا فيها"".. كيف تهدد مصراتة بإسقاط مبادرة بولس حول ليبيا؟",https://www.eremnews.com/news/arab-world/wp415qh,2026-06-28T06:09:50,"""لا تفكروا فيها"".. كيف تهدد مصراتة بإسقاط مبادرة بولس حول ليبيا؟ إرم نيوز",,ليبيا; مصراتة
al_wasat,Al Wasat,ar,Libya,من مشرط الجراحة لجداريات الشوارع.. الطبيب والفنان الليبي «أميدو» يحوّل الرسم إلى لغة بصرية - بوابة الوسط,https://alwasat.ly/news/art-culture/522925,2026-06-28T06:05:48,من مشرط الجراحة لجداريات الشوارع.. الطبيب والفنان الليبي «أميدو» يحوّل الرسم إلى لغة بصرية بوابة الوسط,,الليبي
